taxon	rank	trait_id	trait_name	mean_value	unit	sd	n	origin
Melampyrum	genus	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	32.96180729	mm^2/mg	12.72796937	23	global mean
Melampyrum	genus	3106	Plant height vegetative	0.29096	m	0.16121758	50	global mean
Melampyrum	genus	26	Seed dry mass	7.967851634	mg	5.238755226	51	global mean
Melampyrum	genus	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.389299363	g/cm^3	0	1	global mean
Taraxacum	genus	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Taraxacum	genus	14	Leaf nitrogen (N) content per leaf dry mass	27.44561654	mg/g	5.393669927	18	global mean
Taraxacum	genus	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	35.97	mm^2/mg	6.435502657	5	global mean
Taraxacum	genus	3106	Plant height vegetative	0.377203125	m	0.639773096	64	global mean
Taraxacum	genus	26	Seed dry mass	0.5086625	mg	0.131604146	20	global mean
Taraxacum	genus	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Linnaea	genus	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Linnaea	genus	14	Leaf nitrogen (N) content per leaf dry mass	10.01600646	mg/g	2.985248457	13	global mean
Linnaea	genus	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	23.47201198	mm^2/mg	7.018867451	5	global mean
Linnaea	genus	3106	Plant height vegetative	2.275416667	m	2.193156529	24	global mean
Linnaea	genus	26	Seed dry mass	1.88	mg	1.670442346	7	global mean
Linnaea	genus	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Humulus	genus	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Humulus	genus	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	global mean
Humulus	genus	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Humulus	genus	3106	Plant height vegetative	4.142857143	m	2.244651763	7	global mean
Humulus	genus	26	Seed dry mass	5.452066667	mg	5.08224129	15	global mean
Humulus	genus	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Lamium	genus	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	1939.6768	mm^2	541.6268503	20	global mean
Lamium	genus	14	Leaf nitrogen (N) content per leaf dry mass	33.48080832	mg/g	8.473147743	15	global mean
Lamium	genus	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	33.75947552	mm^2/mg	10.02021986	37	global mean
Lamium	genus	3106	Plant height vegetative	0.340394444	m	0.194947099	60	global mean
Lamium	genus	26	Seed dry mass	1.132211597	mg	1.273514976	131	global mean
Lamium	genus	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.18589604	g/cm^3	0.040767078	3	global mean
Bistorta	genus	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Bistorta	genus	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	global mean
Bistorta	genus	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Bistorta	genus	3106	Plant height vegetative	NA	m	NA	0	global mean
Bistorta	genus	26	Seed dry mass	NA	mg	NA	0	global mean
Bistorta	genus	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Rhamnus	genus	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	2218.163964	mm^2	1275.805662	111	global mean
Rhamnus	genus	14	Leaf nitrogen (N) content per leaf dry mass	20.26563689	mg/g	7.235656882	78	global mean
Rhamnus	genus	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	39.09215548	mm^2/mg	28.70666946	132	global mean
Rhamnus	genus	3106	Plant height vegetative	3.061409554	m	2.729805559	157	global mean
Rhamnus	genus	26	Seed dry mass	17.94472791	mg	19.65138899	70	global mean
Rhamnus	genus	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.592059365	g/cm^3	0.137274567	17	global mean
Capsella;Carex	genus	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Capsella;Carex	genus	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	global mean
Capsella;Carex	genus	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Capsella;Carex	genus	3106	Plant height vegetative	NA	m	NA	0	global mean
Capsella;Carex	genus	26	Seed dry mass	NA	mg	NA	0	global mean
Capsella;Carex	genus	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Trichophorum	genus	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Trichophorum	genus	14	Leaf nitrogen (N) content per leaf dry mass	21.15541667	mg/g	6.820460144	8	global mean
Trichophorum	genus	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	8.92	mm^2/mg	2.364184849	4	global mean
Trichophorum	genus	3106	Plant height vegetative	0.199444444	m	0.133780006	18	global mean
Trichophorum	genus	26	Seed dry mass	0.262333333	mg	0.082873129	6	global mean
Trichophorum	genus	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Cryptogramma	genus	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Cryptogramma	genus	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	global mean
Cryptogramma	genus	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Cryptogramma	genus	3106	Plant height vegetative	0.195	m	0.078986323	5	global mean
Cryptogramma	genus	26	Seed dry mass	NA	mg	NA	0	global mean
Cryptogramma	genus	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Draba	genus	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	14.27	mm^2	4.158004329	10	global mean
Draba	genus	14	Leaf nitrogen (N) content per leaf dry mass	18.87434524	mg/g	9.240136537	8	global mean
Draba	genus	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	18.66260126	mm^2/mg	12.82524173	20	global mean
Draba	genus	3106	Plant height vegetative	0.086714876	m	0.096562506	121	global mean
Draba	genus	26	Seed dry mass	0.14807625	mg	0.5219189	80	global mean
Draba	genus	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.29142	g/cm^3	0.035071812	5	global mean
Silene	genus	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	444.0029999	mm^2	516.6591171	204	global mean
Silene	genus	14	Leaf nitrogen (N) content per leaf dry mass	31.30045651	mg/g	10.78606594	56	global mean
Silene	genus	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	23.29386082	mm^2/mg	13.93894641	336	global mean
Silene	genus	3106	Plant height vegetative	0.297706539	m	0.243929001	452	global mean
Silene	genus	26	Seed dry mass	0.7071877	mg	0.875975343	374	global mean
Silene	genus	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.006699444	g/cm^3	0.016300877	8	global mean
Racomitrium	genus	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Racomitrium	genus	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	global mean
Racomitrium	genus	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Racomitrium	genus	3106	Plant height vegetative	NA	m	NA	0	global mean
Racomitrium	genus	26	Seed dry mass	NA	mg	NA	0	global mean
Racomitrium	genus	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Veronica	genus	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	222.7048166	mm^2	240.4689509	60	global mean
Veronica	genus	14	Leaf nitrogen (N) content per leaf dry mass	18.35727379	mg/g	7.105556339	133	global mean
Veronica	genus	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	25.81279597	mm^2/mg	12.91785151	198	global mean
Veronica	genus	3106	Plant height vegetative	0.220250623	m	0.269574168	483	global mean
Veronica	genus	26	Seed dry mass	0.475202037	mg	0.917421602	317	global mean
Veronica	genus	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.180430273	g/cm^3	0.107213717	5	global mean
Trifolium	genus	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	724.3180469	mm^2	484.1407798	223	global mean
Trifolium	genus	14	Leaf nitrogen (N) content per leaf dry mass	36.38147697	mg/g	8.294487213	232	global mean
Trifolium	genus	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	23.1083364	mm^2/mg	8.860196041	480	global mean
Trifolium	genus	3106	Plant height vegetative	0.217177823	m	0.173491202	747	global mean
Trifolium	genus	26	Seed dry mass	21.57628436	mg	444.378282	627	global mean
Trifolium	genus	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.081336705	g/cm^3	0.089088294	52	global mean
Juncus	genus	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	347.2748913	mm^2	444.4489933	25	global mean
Juncus	genus	14	Leaf nitrogen (N) content per leaf dry mass	18.57045537	mg/g	6.40208464	82	global mean
Juncus	genus	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	11.58099867	mm^2/mg	7.963994275	159	global mean
Juncus	genus	3106	Plant height vegetative	0.435017797	m	0.40010947	354	global mean
Juncus	genus	26	Seed dry mass	0.051962497	mg	0.118205211	351	global mean
Juncus	genus	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.259791367	g/cm^3	0.120616313	7	global mean
Hippuris	genus	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	49.5	mm^2	NA	1	global mean
Hippuris	genus	14	Leaf nitrogen (N) content per leaf dry mass	16.32302122	mg/g	7.537918278	4	global mean
Hippuris	genus	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	41.18995718	mm^2/mg	28.88583295	5	global mean
Hippuris	genus	3106	Plant height vegetative	0.480937778	m	0.329599376	9	global mean
Hippuris	genus	26	Seed dry mass	0.888158667	mg	0.15326093	10	global mean
Hippuris	genus	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Picea sitchensis (Bong.) Carri�re	species	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Picea sitchensis (Bong.) Carri�re	species	14	Leaf nitrogen (N) content per leaf dry mass	12.12737953	mg/g	3.32514019	70	global mean
Picea sitchensis (Bong.) Carri�re	species	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	17.1741874	mm^2/mg	15.30277779	7	global mean
Picea sitchensis (Bong.) Carri�re	species	3106	Plant height vegetative	49.77448	m	24.92941816	25	global mean
Picea sitchensis (Bong.) Carri�re	species	26	Seed dry mass	2.045591061	mg	0.656949316	14	global mean
Picea sitchensis (Bong.) Carri�re	species	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.359042993	g/cm^3	0.043560382	4	global mean
Picea glauca (Moench) Voss	species	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	21.5	mm^2	NA	1	global mean
Picea glauca (Moench) Voss	species	14	Leaf nitrogen (N) content per leaf dry mass	12.2495506	mg/g	6.937417022	69	global mean
Picea glauca (Moench) Voss	species	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	6.97360966	mm^2/mg	4.85550057	4	global mean
Picea glauca (Moench) Voss	species	3106	Plant height vegetative	3.301340426	m	7.338287202	141	global mean
Picea glauca (Moench) Voss	species	26	Seed dry mass	2.363301162	mg	0.598456432	19	global mean
Picea glauca (Moench) Voss	species	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.410737854	g/cm^3	0.137457008	12	global mean
"Picea mariana (Mill.) Britton, Sterns & Poggenb."	species	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	199.4943601	mm^2	69.13730763	216	global mean
"Picea mariana (Mill.) Britton, Sterns & Poggenb."	species	14	Leaf nitrogen (N) content per leaf dry mass	9.804341155	mg/g	4.399776206	528	global mean
"Picea mariana (Mill.) Britton, Sterns & Poggenb."	species	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	4.835112724	mm^2/mg	1.891947427	430	global mean
"Picea mariana (Mill.) Britton, Sterns & Poggenb."	species	3106	Plant height vegetative	3.707373874	m	4.447375968	222	global mean
"Picea mariana (Mill.) Britton, Sterns & Poggenb."	species	26	Seed dry mass	1.162509359	mg	0.394731934	13	global mean
"Picea mariana (Mill.) Britton, Sterns & Poggenb."	species	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.423312222	g/cm^3	0.164086284	11	global mean
Larix laricina (Du Roi) K.Koch	species	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	6.650535731	mm^2	NA	1	global mean
Larix laricina (Du Roi) K.Koch	species	14	Leaf nitrogen (N) content per leaf dry mass	19.28686572	mg/g	6.366750716	67	global mean
Larix laricina (Du Roi) K.Koch	species	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Larix laricina (Du Roi) K.Koch	species	3106	Plant height vegetative	6.715521739	m	10.42079888	46	global mean
Larix laricina (Du Roi) K.Koch	species	26	Seed dry mass	1.665255163	mg	0.42947558	13	global mean
Larix laricina (Du Roi) K.Koch	species	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.418098	g/cm^3	0.236574804	5	global mean
Pinus banksiana Lamb.	species	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	518.9836475	mm^2	173.5645291	73	global mean
Pinus banksiana Lamb.	species	14	Leaf nitrogen (N) content per leaf dry mass	12.5587522	mg/g	3.99054954	729	global mean
Pinus banksiana Lamb.	species	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	5.254765385	mm^2/mg	1.813842249	145	global mean
Pinus banksiana Lamb.	species	3106	Plant height vegetative	4.670908602	m	5.071636584	186	global mean
Pinus banksiana Lamb.	species	26	Seed dry mass	3.569916503	mg	0.865656798	21	global mean
Pinus banksiana Lamb.	species	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.2868	g/cm^3	0.249837387	3	global mean
Pinus balfouriana Balf.	species	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Pinus balfouriana Balf.	species	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	global mean
Pinus balfouriana Balf.	species	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Pinus balfouriana Balf.	species	3106	Plant height vegetative	17.32222222	m	7.285763717	9	global mean
Pinus balfouriana Balf.	species	26	Seed dry mass	26.8799463	mg	0.084802093	4	global mean
Pinus balfouriana Balf.	species	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Abies lasiocarpa (Hook.) Nutt.	species	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Abies lasiocarpa (Hook.) Nutt.	species	14	Leaf nitrogen (N) content per leaf dry mass	13.859	mg/g	2.306922445	49	global mean
Abies lasiocarpa (Hook.) Nutt.	species	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	3.929273084	mm^2/mg	NA	1	global mean
Abies lasiocarpa (Hook.) Nutt.	species	3106	Plant height vegetative	4.772952154	m	7.942898345	195	global mean
Abies lasiocarpa (Hook.) Nutt.	species	26	Seed dry mass	12.88061345	mg	5.822479074	14	global mean
Abies lasiocarpa (Hook.) Nutt.	species	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.345094235	g/cm^3	0.061513007	30	global mean
Pinus sylvestris L.	species	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	145.8915862	mm^2	60.34629783	7	global mean
Pinus sylvestris L.	species	14	Leaf nitrogen (N) content per leaf dry mass	12.94098985	mg/g	3.99803076	785	global mean
Pinus sylvestris L.	species	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	7.326273775	mm^2/mg	6.541800118	58	global mean
Pinus sylvestris L.	species	3106	Plant height vegetative	9.21001195	m	11.67445583	428	global mean
Pinus sylvestris L.	species	26	Seed dry mass	7.559696563	mg	2.904489187	32	global mean
Pinus sylvestris L.	species	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.533655813	g/cm^3	0.076617297	74	global mean
Picea abies (L.) H.Karst.	species	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	18.73125	mm^2	2.733534799	8	global mean
Picea abies (L.) H.Karst.	species	14	Leaf nitrogen (N) content per leaf dry mass	13.15016163	mg/g	2.981715345	369	global mean
Picea abies (L.) H.Karst.	species	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	10.65091417	mm^2/mg	7.906782939	91	global mean
Picea abies (L.) H.Karst.	species	3106	Plant height vegetative	10.59717401	m	16.91863288	336	global mean
Picea abies (L.) H.Karst.	species	26	Seed dry mass	8.78397771	mg	9.980920408	21	global mean
Picea abies (L.) H.Karst.	species	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.426126146	g/cm^3	0.142293676	12	global mean
Larix sibirica Ledeb.	species	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Larix sibirica Ledeb.	species	14	Leaf nitrogen (N) content per leaf dry mass	20.17764706	mg/g	6.432243431	17	global mean
Larix sibirica Ledeb.	species	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Larix sibirica Ledeb.	species	3106	Plant height vegetative	35	m	7.637626158	5	global mean
Larix sibirica Ledeb.	species	26	Seed dry mass	9.81963625	mg	0.708816421	6	global mean
Larix sibirica Ledeb.	species	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.4678715	g/cm^3	0.01948153	2	global mean
Larix gmelinii (Rupr.) Kuzen.	species	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Larix gmelinii (Rupr.) Kuzen.	species	14	Leaf nitrogen (N) content per leaf dry mass	14.08542105	mg/g	6.350454099	19	global mean
Larix gmelinii (Rupr.) Kuzen.	species	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	10.61360011	mm^2/mg	0.250961055	2	global mean
Larix gmelinii (Rupr.) Kuzen.	species	3106	Plant height vegetative	28.05	m	18.21424517	6	global mean
Larix gmelinii (Rupr.) Kuzen.	species	26	Seed dry mass	3.528753391	mg	0.240913307	3	global mean
Larix gmelinii (Rupr.) Kuzen.	species	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.559719	g/cm^3	0.032436957	3	global mean
Picea obovata Ledeb.	species	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Picea obovata Ledeb.	species	14	Leaf nitrogen (N) content per leaf dry mass	14.325	mg/g	2.355195203	8	global mean
Picea obovata Ledeb.	species	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Picea obovata Ledeb.	species	3106	Plant height vegetative	38.33333333	m	9.660917831	6	global mean
Picea obovata Ledeb.	species	26	Seed dry mass	6.33	mg	NA	1	global mean
Picea obovata Ledeb.	species	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Larix decidua Mill.	species	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	20.735	mm^2	NA	1	global mean
Larix decidua Mill.	species	14	Leaf nitrogen (N) content per leaf dry mass	20.3658461	mg/g	3.246919758	65	global mean
Larix decidua Mill.	species	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	9.700201941	mm^2/mg	0.466070305	3	global mean
Larix decidua Mill.	species	3106	Plant height vegetative	29.56232727	m	14.89196381	22	global mean
Larix decidua Mill.	species	26	Seed dry mass	5.954560746	mg	2.038119796	13	global mean
Larix decidua Mill.	species	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.44155308	g/cm^3	0.151333162	9	global mean
Betula pubescens Ehrh.	species	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	1422.299	mm^2	255.9982457	10	global mean
Betula pubescens Ehrh.	species	14	Leaf nitrogen (N) content per leaf dry mass	24.95885176	mg/g	5.815717845	80	global mean
Betula pubescens Ehrh.	species	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	12.54352158	mm^2/mg	2.504723345	11	global mean
Betula pubescens Ehrh.	species	3106	Plant height vegetative	1.876692308	m	8.580119694	91	global mean
Betula pubescens Ehrh.	species	26	Seed dry mass	0.239710061	mg	0.074129121	17	global mean
Betula pubescens Ehrh.	species	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.507317621	g/cm^3	0.222145517	7	global mean
Pinus sibirica Du Tour	species	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Pinus sibirica Du Tour	species	14	Leaf nitrogen (N) content per leaf dry mass	15.4	mg/g	NA	1	global mean
Pinus sibirica Du Tour	species	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Pinus sibirica Du Tour	species	3106	Plant height vegetative	34	m	6.900655593	5	global mean
Pinus sibirica Du Tour	species	26	Seed dry mass	212.8971522	mg	47.9476714	5	global mean
Pinus sibirica Du Tour	species	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Salix lanata L.	species	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Salix lanata L.	species	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	global mean
Salix lanata L.	species	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	11.606	mm^2/mg	2.612340676	5	global mean
Salix lanata L.	species	3106	Plant height vegetative	0.971455556	m	0.695324819	9	global mean
Salix lanata L.	species	26	Seed dry mass	NA	mg	NA	0	global mean
Salix lanata L.	species	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Betula nana L.	species	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	65.39285714	mm^2	18.9977978	21	global mean
Betula nana L.	species	14	Leaf nitrogen (N) content per leaf dry mass	22.00008944	mg/g	5.401804985	80	global mean
Betula nana L.	species	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	11.99423624	mm^2/mg	1.44442578	35	global mean
Betula nana L.	species	3106	Plant height vegetative	0.571651515	m	0.341604443	33	global mean
Betula nana L.	species	26	Seed dry mass	0.315759111	mg	0.311354753	15	global mean
Betula nana L.	species	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Betula fruticosa Pall.	species	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Betula fruticosa Pall.	species	14	Leaf nitrogen (N) content per leaf dry mass	18.21157895	mg/g	3.42572898	19	global mean
Betula fruticosa Pall.	species	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Betula fruticosa Pall.	species	3106	Plant height vegetative	2.625	m	0.44320263	8	global mean
Betula fruticosa Pall.	species	26	Seed dry mass	NA	mg	NA	0	global mean
Betula fruticosa Pall.	species	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Calluna vulgaris (L.) Hull	species	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	15.66224931	mm^2	9.04507431	5	global mean
Calluna vulgaris (L.) Hull	species	14	Leaf nitrogen (N) content per leaf dry mass	13.72290637	mg/g	3.062487781	83	global mean
Calluna vulgaris (L.) Hull	species	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	9.745403258	mm^2/mg	2.718199609	15	global mean
Calluna vulgaris (L.) Hull	species	3106	Plant height vegetative	0.494287879	m	0.485919183	33	global mean
Calluna vulgaris (L.) Hull	species	26	Seed dry mass	0.152122045	mg	0.2843303	16	global mean
Calluna vulgaris (L.) Hull	species	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.480698592	g/cm^3	0.063877533	6	global mean
Podiceps grisegena Boddaert	species	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Podiceps grisegena Boddaert	species	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	global mean
Podiceps grisegena Boddaert	species	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Podiceps grisegena Boddaert	species	3106	Plant height vegetative	NA	m	NA	0	global mean
Podiceps grisegena Boddaert	species	26	Seed dry mass	NA	mg	NA	0	global mean
Podiceps grisegena Boddaert	species	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Podiceps auritus L.	species	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Podiceps auritus L.	species	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	global mean
Podiceps auritus L.	species	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Podiceps auritus L.	species	3106	Plant height vegetative	NA	m	NA	0	global mean
Podiceps auritus L.	species	26	Seed dry mass	NA	mg	NA	0	global mean
Podiceps auritus L.	species	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Sphagnum squarrosum Crome	species	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
Sphagnum squarrosum Crome	species	14	Leaf nitrogen (N) content per leaf dry mass	NA	mg/g	NA	0	global mean
Sphagnum squarrosum Crome	species	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	NA	mm^2/mg	NA	0	global mean
Sphagnum squarrosum Crome	species	3106	Plant height vegetative	NA	m	NA	0	global mean
Sphagnum squarrosum Crome	species	26	Seed dry mass	NA	mg	NA	0	global mean
Sphagnum squarrosum Crome	species	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Sphagnum warnstorfii Russow	species	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	NA	mm^2	NA	0	global mean
