timeline_id,bin_early,bin_late,morphotype
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,10500,10000,ranunculus
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,11000,10500,betula nana
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,11000,10500,caryophyllaceae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,11000,10500,cassiope
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,11000,10500,gramineae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,11000,10500,oxyria
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,11000,10500,ranunculus
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,11000,10500,salix herbacea
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,11000,10500,comp. t.
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,11000,10500,cruciferae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,11000,10500,cyperaceae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,11000,10500,filpendula
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,11000,10500,saxifraga oppositifolia
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,11500,11000,caryophyllaceae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,11500,11000,comp. t.
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,11500,11000,cruciferae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,11500,11000,cyperaceae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,11500,11000,filpendula
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,11500,11000,gramineae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,11500,11000,oxyria
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,11500,11000,salix herbacea
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,11500,11000,saxifraga oppositifolia
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,12000,11500,caryophyllaceae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,12000,11500,gramineae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,12000,11500,oxyria
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,12000,11500,salix herbacea
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,12500,12000,caryophyllaceae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,12500,12000,gramineae
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,12500,12000,oxyria
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f,12500,12000,salix herbacea
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,500,0,Alnus
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,500,0,Betula
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,500,0,Cassiope-Harrimanella
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,500,0,Cyperaceae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,500,0,Diphasium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,500,0,Dryopteris t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,500,0,Empetrum hermap
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,500,0,Gramineae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,500,0,Gymnocarpium dryopt.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,500,0,Huperzia selago
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,500,0,Lycopodium dubium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,500,0,Rhododendron t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,500,0,Salix glauca t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,500,0,Artemisia
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,500,0,Cerastium-Stellaria t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1000,500,Alnus
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1000,500,Artemisia
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1000,500,Betula
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1000,500,Cyperaceae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1000,500,Diphasium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1000,500,Empetrum hermap
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1000,500,Gramineae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1000,500,Huperzia selago
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1000,500,Salix glauca t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1000,500,Cerastium-Stellaria t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1000,500,Lycopodium dubium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1000,500,Gymnocarpium dryopt.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1000,500,Potentilla-Comarum t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1000,500,Salix herbacaea t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1500,1000,Alnus
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1500,1000,Betula
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1500,1000,Cyperaceae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1500,1000,Diphasium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1500,1000,Empetrum hermap
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1500,1000,Gramineae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1500,1000,Salix glauca t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1500,1000,Gymnocarpium dryopt.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1500,1000,Huperzia selago
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1500,1000,Potentilla-Comarum t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1500,1000,Salix herbacaea t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1500,1000,Equisetum
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1500,1000,Oxyria digyna
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,1500,1000,Lycopodium dubium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2000,1500,Alnus
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2000,1500,Betula
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2000,1500,Cyperaceae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2000,1500,Diphasium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2000,1500,Empetrum hermap
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2000,1500,Equisetum
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2000,1500,Gramineae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2000,1500,Oxyria digyna
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2000,1500,Salix glauca t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2000,1500,Lycopodium dubium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,2000,1500,Salix herbacaea t.
