location_id	bin_early	bin_late	morphotype	taxon	rank	taxonomic_tree	taxon_ambiguous_with	variable	variable_unit	variable_value (float)	variable_ci (float option)	variable_confidence_qualitative (string option)
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Cerastium-Stellaria type	Stellaria longipes Goldie	Species	Stellaria longipes Goldie	Stellaria longipes Goldie;Cerastium fontanum Baumg.;Cerastium alpinum L.	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Cerastium-Stellaria type	Cerastium fontanum Baumg.	Species	Cerastium fontanum Baumg.	Stellaria longipes Goldie;Cerastium fontanum Baumg.;Cerastium alpinum L.	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Cerastium-Stellaria type	Cerastium alpinum L.	Species	Cerastium alpinum L.	Stellaria longipes Goldie;Cerastium fontanum Baumg.;Cerastium alpinum L.	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Dryas type	Dryas	Genus	Life > Plantae > Angiosperms > Rosales > Rosaceae > Dryas	Dryas	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Dryopteris type	Polypodiaceae	Family	Life > Plantae > Polypodiophyta > Polypodiopsida > Polypodiales > Polypodiaceae	Polypodiaceae	pollen	percentage	0.625		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Euphrasia type	Rhinanthus	Genus	Life > Plantae > Angiosperms > Lamiales > Orobanchaceae > Rhinanthus	Rhinanthus;Euphrasia;Bartsia	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Euphrasia type	Euphrasia	Genus	Euphrasia	Rhinanthus;Euphrasia;Bartsia	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Euphrasia type	Bartsia	Genus	Bartsia	Rhinanthus;Euphrasia;Bartsia	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Galium sp.	Galium	Genus	Life > Plantae > Angiosperms > Gentianales > Rubiaceae > Galium	Galium	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Gymnocarpium dryopteris	Gymnocarpium dryopteris (L.) Newman	Species	Gymnocarpium dryopteris (L.) Newman	Gymnocarpium dryopteris (L.) Newman	pollen	percentage	3.88889		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Juniperus communis	Juniperus communis L.	Species	Life > Plantae > Pinophyta > Pinopsida > Cupressales > Cupressaceae > Juniperus > Juniperus communis L.	Juniperus communis L.	pollen	percentage	15.75758		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Luzula-Juncus	Juncus	Genus	Life > Plantae > Angiosperms > Poales > Juncaceae > Juncus	Juncus;Luzula	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6157	6157	Luzula-Juncus	Luzula	Genus	Life > Plantae > Angiosperms > Poales > Juncaceae > Luzula	Juncus;Luzula	pollen	percentage	0		
