Taxon	Family	Genus	Species	Subunit (string option)	Subunit Value	ID	TaxonOriginal	Ic	FN	KP	SF	UN	YG	Tm	AO	Kh	YK	CW	WI	CS	CE	AW	AN	CC	HL	EP	GW	GE	A	B	C	D	E	N
L. annotinum subsp. annotinum	LYCOPODIACEAE	Lycopodium	annotinum	subsp.	annotinum	010101a	L. annotinum subsp. annotinum	b	r	r	-	-	r	r	-	-	-	-	-	r	-	s	r	r	r	-	r	r	-	-	-	-	R	F
L. annotinum subsp. alpestre	LYCOPODIACEAE	Lycopodium	annotinum	subsp.	alpestre	010101b	L. annotinum subsp. alpestre	f	f	s	-	s	r	r	r	r	r	s	-	f	f	s	s	r	s	-	f	f	-	-	R	F	F	S
L. clavatum subsp. clavatum	LYCOPODIACEAE	Lycopodium	clavatum	subsp.	clavatum	010102a	L. clavatum subsp. clavatum	-	-	r	-	-	b	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	S
L. clavatum subsp. monostachyon	LYCOPODIACEAE	Lycopodium	clavatum	subsp.	monostachyon	010102b	L. clavatum subsp. monostachyon	-	s	s	-	r	r	r	-	-	-	-	-	r	s	s	r	-	r	-	r	r	-	-	-	-	S	F
L. dendroideum	LYCOPODIACEAE	Lycopodium	dendroideum			10103	L. dendroideum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	r	-	-	-	-	-	-	-	R	F
D. complanatum subsp. complanatum	LYCOPODIACEAE	Diphasiastrum	complanatum	subsp.	complanatum	010201a	D. complanatum subsp. complanatum	-	r	r	-	-	-	r	-	-	-	-	-	-	-	r	r	r	r	-	-	-	-	-	-	-	R	F
D. complanatum subsp. montellii	LYCOPODIACEAE	Diphasiastrum	complanatum	subsp.	montellii	010201b	D. complanatum subsp. montellii	-	r	r	-	-	-	-	-	-	-	-	-	-	-	s	f	X	X	-	s	-	-	-	?	R	R	F
D. sitchense	LYCOPODIACEAE	Diphasiastrum	sitchense			10202	D. sitchense	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	?	-	-	-	-	-	R	S
D. alpinum	LYCOPODIACEAE	Diphasiastrum	alpinum			10203	D. alpinum	f	f	f	-	f	s	r	-	-	-	-	-	f	r	f	r	-	r	-	f	f	-	-	R	F	F	F
H. selago	LYCOPODIACEAE	Huperzia	selago			10301	H. selago	r	-	r	-	r	-	-	-	-	-	-	-	-	-	-	-	r	r	-	r	r	-	-	-	-	R	F
H. appressa	LYCOPODIACEAE	Huperzia	appressa			10302	H. appressa	f	f	s	-	s	r	r	-	-	-	-	-	-	-	-	-	-	r	-	f	f	-	R	F	F	F	F
H. arctica	LYCOPODIACEAE	Huperzia	arctica			10303	H. arctica	-	-	r	s	r	r	s	s	s	r	f	r	s	?	?	?	s	r	r	f	f	-	S	F	F	F	S
H. haleakalae	LYCOPODIACEAE	Huperzia	haleakalae			10304	H. haleakalae	-	-	-	-	-	-	-	-	-	-	-	-	?	?	r	r	?	-	-	-	-	-	-	-	?	S	F
H. miyoshiana	LYCOPODIACEAE	Huperzia	miyoshiana			10305	H. miyoshiana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	b	S
S. selaginoides	SELAGINELLACEAE	Selaginella	selaginoides			20101	S. selaginoides	f	s	s	-	r	-	r	r	-	-	-	-	-	r	r	r	b	r	-	s	s	-	-	-	R	F	F
S. sibirica	SELAGINELLACEAE	Selaginella	sibirica			20102	S. sibirica	-	-	-	-	-	-	-	?	r	r	f	s	f	s	s	f	r	-	-	-	-	-	-	-	R	F	F
S. rupestris	SELAGINELLACEAE	Selaginella	rupestris			20103	S. rupestris	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	R	S
I. lacustris	SELAGINELLACEAE	Isoetes	lacustris			30101	I. lacustris	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	R	F
I. echinospora	SELAGINELLACEAE	Isoetes	echinospora			30102	I. echinospora	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
I. muricata	SELAGINELLACEAE	Isoetes	muricata			30103	I. muricata	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	r	-	s	r	-	-	-	-	R	F
E. fluviatile	EQUISETACEAE	Equisetum	fluviatile			40101	E. fluviatile	f	f	s	-	r	r	r	-	r	r	r	-	s	r	s	s	r	s	-	-	-	-	-	-	?	F	F
E. palustre	EQUISETACEAE	Equisetum	palustre			40102	E. palustre	f	s	s	-	r	-	r	r	s	-	r	-	-	f	r	s	r	r	-	-	-	-	-	-	?	S	F
E. pratense	EQUISETACEAE	Equisetum	pratense			40103	E. pratense	f	s	s	-	s	r	r	-	-	-	r	-	f	f	s	s	-	r	-	-	-	-	-	-	?	S	F
E. sylvaticum	EQUISETACEAE	Equisetum	sylvaticum			40104	E. sylvaticum	r	f	s	-	?	r	r	-	-	-	-	-	s	r	s	-	r	r	-	s	-	-	-	-	R	S	F
E. arvense subsp. arvense	EQUISETACEAE	Equisetum	arvense	subsp.	arvense	040105a	E. arvense subsp. arvense	s	f	r	**	r	r	r	-	-	-	-	-	-	-	-	-	?	s	-	s	s	-	-	-	?	F	F
E. arvense subsp. alpestre	EQUISETACEAE	Equisetum	arvense	subsp.	alpestre	040105b	E. arvense subsp. alpestre	f	s	f	f	f	s	s	s	s	r	f	f	f	f	f	s	s	f	s	f	f	R	F	F	F	R	R
E. hyemale subsp. hyemale	EQUISETACEAE	Equisetum	hyemale	subsp.	hyemale	040106a	E. hyemale subsp. hyemale	f	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	R	F
E. hyemale subsp. affine	EQUISETACEAE	Equisetum	hyemale	subsp.	affine	040106b	E. hyemale subsp. affine	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	b	-	-	-	-	-	-	-	-	-	b	S
E. x mackaii	EQUISETACEAE	Equisetum	x	mackaii		40107	E. x mackaii	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	X	-	-	-	-	?	R	F
E. variegatum subsp. variegatum	EQUISETACEAE	Equisetum	variegatum	subsp.	variegatum	040108a	E. variegatum subsp. variegatum	f	s	s	f	f	r	s	r	s	r	r	f	f	f	s	f	f	f	f	f	f	R	F	F	F	F	F
E. variegatum subsp. alaskanum	EQUISETACEAE	Equisetum	variegatum	subsp.	alaskanum	040108b	E. variegatum subsp. alaskanum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	b	F
E. scirpoides	EQUISETACEAE	Equisetum	scirpoides			40109	E. scirpoides	-	r	s	s	s	r	r	?	r	r	r	s	f	f	s	f	s	s	-	s	-	-	-	F	F	F	F
B. virginianum	OPHIOGLOSSACEAE	Botrychium	virginianum			50101	B. virginianum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	b	S
B. multifidum (subsp. multifidum)	OPHIOGLOSSACEAE	Botrychium	multifidum	(subsp.	multifidum)	50102	B. multifidum (subsp. multifidum)	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	-	r	-	r	-	-	-	-	-	R	S
B. lanceolatum (subsp. lanceolatum)	OPHIOGLOSSACEAE	Botrychium	lanceolatum	(subsp.	lanceolatum)	50103	B. lanceolatum (subsp. lanceolatum)	s	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	r	-	s	r	-	-	?	R	R	S
B. boreale	OPHIOGLOSSACEAE	Botrychium	boreale			50104	B. boreale	r	r	r	r	?	r	r	-	-	-	r	-	-	-	-	-	-	-	-	s	r	-	-	R	S	F	F
B. pinnatum	OPHIOGLOSSACEAE	Botrychium	pinnatum			50105	B. pinnatum	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	b	-	-	-	-	-	-	-	-	-	R	F
B. lunaria	OPHIOGLOSSACEAE	Botrychium	lunaria			50106	B. lunaria	f	s	s	?	r	-	r	b	-	r	s	-	-	s	r	r	-	r	-	f	f	-	-	R	F	F	F
B. minganense	OPHIOGLOSSACEAE	Botrychium	minganense			50107	B. minganense	?	-	-	-	-	-	-	-	-	-	-	-	-	r	s	r	-	r	-	?	-	-	-	-	-	R	S
B. ascendens	OPHIOGLOSSACEAE	Botrychium	ascendens			50108	B. ascendens	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	b	R
B. simplex	OPHIOGLOSSACEAE	Botrychium	simplex			50109	B. simplex	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	R	R
O. azoricum	OPHIOGLOSSACEAE	Ophioglossum	azoricum			50201	O. azoricum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	R	-	R
C. stelleri	ADIANTACEAE	Cryptogramma	stelleri			60101	C. stelleri	-	-	r	-	r	-	r	r	r	-	-	-	-	r	r	r	-	b	-	-	-	-	-	-	-	R	S
C. acrostichoides	ADIANTACEAE	Cryptogramma	acrostichoides			60102	C. acrostichoides	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	-	r	-	-	-	-	-	-	-	-	R	F
C. sitchensis	ADIANTACEAE	Cryptogramma	sitchensis			60103	C. sitchensis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	F
C. crispa	ADIANTACEAE	Cryptogramma	crispa			60104	C. crispa	r	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
P. connectilis	THELYPTERIDACEAE	Phegopteris	connectilis			70101	P. connectilis	s	s	-	-	-	-	-	-	-	-	-	-	-	r	s	-	-	r	-	s	s	-	-	-	-	R	F
A. viride	ASPLENIACEAE	Asplenium	viride			80101	A. viride	-	r	-	-	?	-	r	-	-	-	-	-	-	-	r	-	-	b	-	s	r	-	-	-	R	R	F
A. septentrionale	ASPLENIACEAE	Asplenium	septentrionale			80102	A. septentrionale	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	S
M. struthiopteris (subsp. struthiopteris)	WOODSIACEAE	Matteuccia	struthiopteris	(subsp.	struthiopteris)	90101	M. struthiopteris (subsp. struthiopteris)	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	F
A. filix-femina subsp. filix-femina	WOODSIACEAE	Athyrium	filix-femina	subsp.	filix-femina	090201a	A. filix-femina subsp. filix-femina	r	s	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
A. filix-femina subsp. cyclosorum	WOODSIACEAE	Athyrium	filix-femina	subsp.	cyclosorum	090201b	A. filix-femina subsp. cyclosorum	-	-	-	-	-	-	-	-	-	-	-	-	r	r	s	-	-	r	-	-	-	-	-	-	-	R	F
A. filix-femina subsp. angustum	WOODSIACEAE	Athyrium	filix-femina	subsp.	angustum	090201c	A. filix-femina subsp. angustum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	r	-	-	-	-	-	R	F
A. distentifolium subsp. distentifolium	WOODSIACEAE	Athyrium	distentifolium	subsp.	distentifolium	090202a	A. distentifolium subsp. distentifolium	s	f	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	S	F
A. distentifolium subsp. americanum	WOODSIACEAE	Athyrium	distentifolium	subsp.	americanum	090202b	A. distentifolium subsp. americanum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	?	S	F
D. sibiricum	WOODSIACEAE	Diplazium	sibiricum			90301	D. sibiricum	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
G. dryopteris	WOODSIACEAE	Gymnocarpium	dryopteris			90401	G. dryopteris	f	s	r	-	-	r	r	-	-	-	-	-	-	r	s	r	-	r	-	s	s	-	-	-	R	F	F
G. continentale	WOODSIACEAE	Gymnocarpium	continentale			90402	G. continentale	-	-	-	-	-	-	b	-	r	-	r	-	r	-	r	?	-	r	-	-	-	-	-	-	-	R	F
G. x intermedium	WOODSIACEAE	Gymnocarpium	x	intermedium		90403	G. x intermedium	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	r	-	-	-	-	-	-	-	-	-	R	R
C. fragilis	WOODSIACEAE	Cystopteris	fragilis			90501	C. fragilis	f	f	r	s	s	r	s	s	s	r	f	r	f	f	f	f	f	f	s	f	f	-	R	F	F	F	F
C. alpina	WOODSIACEAE	Cystopteris	alpina			90502	C. alpina	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	R
C. montana	WOODSIACEAE	Cystopteris	montana			90503	C. montana	-	s	r	-	-	r	-	-	-	-	-	-	r	s	r	r	-	r	-	r	-	-	-	-	-	R	F
W. ilvensis	WOODSIACEAE	Woodsia	ilvensis			90601	W. ilvensis	r	r	r	-	-	-	r	r	r	r	s	-	r	s	s	r	r	r	-	f	f	-	-	R	F	F	F
W. alpina	WOODSIACEAE	Woodsia	alpina			90602	W. alpina	b	-	-	-	?	-	-	-	r	-	r	-	r	?	r	s	r	s	r	s	s	-	R	R	F	F	F
W. glabella	WOODSIACEAE	Woodsia	glabella			90603	W. glabella	-	r	r	r	r	r	r	r	s	-	f	r	f	f	s	f	f	f	f	f	f	-	R	F	F	F	R
D. expansa	DRYOPTERIDACEAE	Dryopteris	expansa			100101	D. expansa	s	f	s	-	-	b	r	-	-	-	r	-	-	r	s	r	-	r	-	s	r	-	-	-	R	F	F
D. carthusiana	DRYOPTERIDACEAE	Dryopteris	carthusiana			100102	D. carthusiana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	S
D. marginalis	DRYOPTERIDACEAE	Dryopteris	marginalis			100103	D. marginalis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	R	R
D. filix-mas	DRYOPTERIDACEAE	Dryopteris	filix-mas			100104	D. filix-mas	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	r	-	-	-	-	R	F
D. fragrans	DRYOPTERIDACEAE	Dryopteris	fragrans			100105	D. fragrans	-	-	-	-	s	r	s	r	s	r	f	-	f	f	f	f	f	f	s	s	r	-	R	F	F	F	F
P. lonchitis	DRYOPTERIDACEAE	Polystichum	lonchitis			100201	P. lonchitis	f	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	s	s	-	-	-	R	F	F
P. sibiricum	POLYPODIACEAE	Polypodium	sibiricum			110101	P. sibiricum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	r	r	-	r	-	-	-	-	-	R	F
P. vulgare	POLYPODIACEAE	Polypodium	vulgare			110102	P. vulgare	s	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
B. spicant	BLECHNACEAE	Blechnum	spicant			120101	B. spicant	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
A. balsamea	PINACEAE	Abies	balsamea			130101	A. balsamea	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	b	F
P. abies subsp. abies	PINACEAE	Picea	abies	subsp.	abies	130201a	P. abies subsp. abies	-	b	s	-	?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
P. abies subsp. obovata	PINACEAE	Picea	abies	subsp.	obovata	130201b	P. abies subsp. obovata	-	-	-	-	r	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
P. glauca	PINACEAE	Picea	glauca			130202	P. glauca	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	r	s	-	-	-	-	-	-	-	R	F
P. mariana	PINACEAE	Picea	mariana			130203	P. mariana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	r	s	-	-	-	-	-	-	-	R	F
L. sibirica	PINACEAE	Larix	sibirica			130301	L. sibirica	-	-	s	-	s	s	?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
L. dahurica	PINACEAE	Larix	dahurica			130302	L. dahurica	-	-	-	-	-	?	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
L. cajanderi	PINACEAE	Larix	cajanderi			130303	L. cajanderi	-	-	-	-	-	-	-	r	s	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
L. laricina	PINACEAE	Larix	laricina			130304	L. laricina	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	r	r	r	-	-	-	-	-	-	-	R	F
P. sylvestris subsp. lapponica	PINACEAE	Pinus	sylvestris	subsp.	lapponica	130401a	P. sylvestris subsp. lapponica	-	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
P. sibirica	PINACEAE	Pinus	sibirica			130402	P. sibirica	-	-	-	-	r	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
P. pumila	PINACEAE	Pinus	pumila			130403	P. pumila	-	-	-	-	-	-	-	-	r	r	r	-	s	-	-	-	-	-	-	-	-	-	-	-	-	R	F
J. communis subsp. communis	CUPRESSACEAE	Juniperus	communis	subsp.	communis	140101a	J. communis subsp. communis	?	r	-	-	-	r	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
J. communis subsp. nana	CUPRESSACEAE	Juniperus	communis	subsp.	nana	140101b	J. communis subsp. nana	f	f	r	-	s	r	b	-	r	b	s	-	-	-	-	-	-	-	-	s	s	-	-	-	R	F	F
J. communis subsp. depressa	CUPRESSACEAE	Juniperus	communis	subsp.	depressa	140101c	J. communis subsp. depressa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	s	r	s	-	-	-	-	-	-	-	S	F
J. horizontalis	CUPRESSACEAE	Juniperus	horizontalis			140102	J. horizontalis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	R	F
N. pumila	NYMPHAEACEAE	Nuphar	pumila			150101	N. pumila	-	-	r	-	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
N. polysepala	NYMPHAEACEAE	Nuphar	polysepala			150102	N. polysepala	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	r	-	-	-	-	-	-	-	-	R	F
N. variegata	NYMPHAEACEAE	Nuphar	variegata			150103	N. variegata	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	b	-	-	-	-	-	-	-	b	F
N. tetragona	NYMPHAEACEAE	Nymphaea	tetragona			150201	N. tetragona	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	F
N. leibergii	NYMPHAEACEAE	Nymphaea	leibergii			150202	N. leibergii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	b	F
C. palustris	ARACEAE	Calla	palustris			160101	C. palustris	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	r	-	-	-	-	-	-	-	-	R	F
L. minor	ARACEAE	Lemna	minor			160201	L. minor	-	-	r	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
L. turionifera	ARACEAE	Lemna	turionifera			160202	L. turionifera	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	S
L. trisulca	ARACEAE	Lemna	trisulca			160203	L. trisulca	-	-	s	-	r	-	r	-	-	r	-	-	-	-	r	r	r	r	-	-	-	-	-	-	-	R	S
T. pusilla	TOFIELDIACEAE	Tofieldia	pusilla			170101	T. pusilla	f	f	f	r	s	r	r	r	f	r	s	-	s	-	s	f	f	f	-	f	f	-	-	R	F	F	F
T. coccinea	TOFIELDIACEAE	Tofieldia	coccinea			170102	T. coccinea	-	-	-	-	s	f	f	f	f	s	s	-	f	f	f	f	s	s	r	s	s	-	-	R	S	F	F
T. glutinosa	TOFIELDIACEAE	Triantha	glutinosa			170201	T. glutinosa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	R	F
B. umbellatus	BUTOMACEAE	Butomus	umbellatus			180101	B. umbellatus	-	-	b	-	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	F
A. plantago-aquatica	ALISMATACEAE	Alisma	plantago-aquatica			190101	A. plantago-aquatica	-	-	r	-	?	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
A. triviale	ALISMATACEAE	Alisma	triviale			190102	A. triviale	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	b	-	-	-	-	-	-	-	R	S
A. lanceolatum	ALISMATACEAE	Alisma	lanceolatum			190103	A. lanceolatum	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	S
S. cuneata	ALISMATACEAE	Sagittaria	cuneata			190201	S. cuneata	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	b	F
S. natans	ALISMATACEAE	Sagittaria	natans			190202	S. natans	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	F
S. palustris subsp. americana	SCHEUCHZERIACEAE	Scheuchzeria	palustris	subsp.	americana	200101a	S. palustris subsp. americana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	b	F
T. maritima	JUNCAGINACEAE	Triglochin	maritima			210101	T. maritima	r	s	s	-	-	-	r	-	-	-	?	-	-	?	r	r	r	s	-	-	-	-	-	-	-	S	F
T. palustris	JUNCAGINACEAE	Triglochin	palustris			210102	T. palustris	f	s	f	-	s	-	b	-	-	-	-	-	r	s	s	r	r	s	-	s	r	-	-	-	-	S	F
R. maritima	RUPPIACEAE	Ruppia	maritima			220101	R. maritima	r	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	R	S
R. cirrhosa	RUPPIACEAE	Ruppia	cirrhosa			220102	R. cirrhosa	r	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	S
Z. marina	ZOSTERACEAE	Zostera	marina			230101	Z. marina	-	-	-	-	-	-	-	-	-	-	-	-	?	?	-	-	-	-	-	r	-	-	-	-	-	R	S
Z. angustifolia	ZOSTERACEAE	Zostera	angustifolia			230102	Z. angustifolia	r	r	-	-	-	-	-	-	-	-	-	-	?	r	r	-	-	s	-	r	-	-	-	-	-	R	F
P. natans	POTAMOGETONACEAE	Potamogeton	natans			240101	P. natans	r	-	r	-	r	r	-	-	-	-	-	-	-	-	-	-	-	b	-	r	-	-	-	-	-	R	F
P. epihydrus	POTAMOGETONACEAE	Potamogeton	epihydrus			240102	P. epihydrus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	b	S
P. gramineus	POTAMOGETONACEAE	Potamogeton	gramineus			240103	P. gramineus	s	r	s	-	r	r	r	-	-	r	-	-	-	-	r	r	r	r	-	s	-	-	-	-	-	S	F
P. alpinus subsp. alpinus	POTAMOGETONACEAE	Potamogeton	alpinus	subsp.	alpinus	240104a	P. alpinus subsp. alpinus	f	r	s	-	r	?	?	?	?	?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
P. alpinus subsp. tenuifolius	POTAMOGETONACEAE	Potamogeton	alpinus	subsp.	tenuifolius	240104b	P. alpinus subsp. tenuifolius	-	-	-	-	-	r	r	r	r	-	s	-	s	s	r	r	r	r	-	s	-	-	-	-	-	S	F
P. perfoliatus subsp. perfoliatus	POTAMOGETONACEAE	Potamogeton	perfoliatus	subsp.	perfoliatus	240105a	P. perfoliatus subsp. perfoliatus	r	b	s	-	s	r	r	-	-	r	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	S	F
P. perfoliatus subsp. richardsonii	POTAMOGETONACEAE	Potamogeton	perfoliatus	subsp.	richardsonii	240105b	P. perfoliatus subsp. richardsonii	-	-	-	-	-	-	-	-	-	-	?	-	r	-	r	s	r	-	-	-	-	-	-	-	-	S	F
P. praelongus	POTAMOGETONACEAE	Potamogeton	praelongus			240106	P. praelongus	s	r	r	-	r	r	r	-	-	r	r	-	-	-	r	r	r	r	-	-	r	-	-	-	-	R	F
P. lucens	POTAMOGETONACEAE	Potamogeton	lucens			240107	P. lucens	-	-	b	-	-	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	S
P. robbinsii	POTAMOGETONACEAE	Potamogeton	robbinsii			240108	P. robbinsii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	R	R
P. compressus 	POTAMOGETONACEAE	Potamogeton	compressus			240109	P. compressus 	-	-	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	S
P. zosteriformis	POTAMOGETONACEAE	Potamogeton	zosteriformis			240110	P. zosteriformis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	R	S
P. foliosus (subsp. foliosus)	POTAMOGETONACEAE	Potamogeton	foliosus	(subsp.	foliosus)	240111	P. foliosus (subsp. foliosus)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	b	S
P. friesii	POTAMOGETONACEAE	Potamogeton	friesii			240112	P. friesii	-	-	r	-	r	-	r	-	-	r	-	-	-	-	-	r	r	-	-	-	-	-	-	-	-	R	S
P. sibiricus	POTAMOGETONACEAE	Potamogeton	sibiricus			240113	P. sibiricus	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	R
P. subsibiricus	POTAMOGETONACEAE	Potamogeton	subsibiricus			240114	P. subsibiricus	-	-	r	-	r	-	s	-	-	r	r	-	r	r	r	r	r	b	-	-	-	-	-	-	-	R	S
P. groenlandicus	POTAMOGETONACEAE	Potamogeton	groenlandicus			240115	P. groenlandicus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	r	-	-	-	-	R	-
P. pusillus	POTAMOGETONACEAE	Potamogeton	pusillus			240116	P. pusillus	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	b	R
P. berchtoldii	POTAMOGETONACEAE	Potamogeton	berchtoldii			240117	P. berchtoldii	r	r	r	-	r	-	-	-	-	r	r	-	r	s	r	r	r	r	-	-	-	-	-	-	-	R	F
S. pectinata	POTAMOGETONACEAE	Stuckenia	pectinata			240201	S. pectinata	-	-	s	-	-	-	-	-	-	r	-	-	r	-	r	b	r	-	-	-	-	-	-	-	-	S	F
S. x bottnica	POTAMOGETONACEAE	Stuckenia	x	bottnica		240202	S. x bottnica	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
S. vaginata	POTAMOGETONACEAE	Stuckenia	vaginata			240203	S. vaginata	-	-	-	-	-	-	-	-	-	r	-	-	-	?	-	b	r	r	-	-	-	-	-	-	-	R	F
S. filiformis subsp. filiformis	POTAMOGETONACEAE	Stuckenia	filiformis	subsp.	filiformis	240204a	S. filiformis subsp. filiformis	f	s	r	-	-	-	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
