Taxon	Family	Genus	Species	Subunit (string option)	Subunit Value	ID	TaxonOriginal	Ic	FN	KP	SF	UN	YG	Tm	AO	Kh	YK	CW	WI	CS	CE	AW	AN	CC	HL	EP	GW	GE	A	B	C	D	E	N
C. loliacea	CYPERACEAE	Carex	loliacea			3309115	C. loliacea	-	-	-	-	r	r	r	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	R	F
C. tenuiflora	CYPERACEAE	Carex	tenuiflora			3309116	C. tenuiflora	-	-	r	-	r	r	r	-	-	r	r	-	-	-	r	-	r	r	-	-	-	-	-	-	-	R	F
C. heleonastes	CYPERACEAE	Carex	heleonastes			3309117	C. heleonastes	-	?	r	-	r	-	-	-	-	-	-	-	-	-	-	r	-	r	-	-	-	-	-	-	-	R	F
C. marina subsp. marina	CYPERACEAE	Carex	marina	subsp.	marina	3309118a	C. marina subsp. marina	-	-	-	-	r	s	s	s	s	r	s	-	r	r	r	s	s	s	r	r	-	-	-	S	F	F	R
C. marina subsp. pseudolagopina	CYPERACEAE	Carex	marina	subsp.	pseudolagopina	3309118b	C. marina subsp. pseudolagopina	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	s	s	-	-	S	F	F	R
C. glareosa (subsp. glareosa)	CYPERACEAE	Carex	glareosa	(subsp.	glareosa)	3309119	C. glareosa (subsp. glareosa)	f	f	s	r	-	-	r	r	r	r	s	X	r	f	f	f	r	s	r	f	s	-	-	R	F	F	F
C. lachenalii	CYPERACEAE	Carex	lachenalii			3309120	C. lachenalii	f	f	f	s	f	f	s	s	f	s	f	f	f	f	f	f	s	f	r	f	f	-	-	S	F	F	F
C. ursina	CYPERACEAE	Carex	ursina			3309121	C. ursina	-	-	-	f	s	r	r	r	r	r	r	s	-	s	r	f	f	f	s	s	s	-	R	F	F	S	-
C. dioica	CYPERACEAE	Carex	dioica			3309122	C. dioica	f	s	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
C. gynocrates	CYPERACEAE	Carex	gynocrates			3309123	C. gynocrates	-	-	-	-	-	-	r	r	s	-	s	-	r	r	r	s	s	r	-	f	-	-	-	-	S	F	F
C. parallela subsp. parallela	CYPERACEAE	Carex	parallela	subsp.	parallela	3309124a	C. parallela subsp. parallela	-	r	s	s	s	?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	-	-	S	F	F	S
C. parallela subsp. redowskiana	CYPERACEAE	Carex	parallela	subsp.	redowskiana	3309124b	C. parallela subsp. redowskiana	-	-	s	-	f	r	r	s	f	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	F	S
C. microglochin	CYPERACEAE	Carex	microglochin			3309125	C. microglochin	f	r	-	-	-	-	-	b	-	-	-	-	-	-	r	s	r	s	-	f	s	-	-	-	R	S	F
C. pauciflora	CYPERACEAE	Carex	pauciflora			3309126	C. pauciflora	-	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	R	F
C. obtusata	CYPERACEAE	Carex	obtusata			3309127	C. obtusata	-	-	r	-	r	-	-	r	-	r	X	s	s	s	s	f	r	-	-	-	-	-	-	-	?	S	F
C. rupestris	CYPERACEAE	Carex	rupestris			3309128	C. rupestris	s	s	r	f	f	r	f	s	f	r	f	f	s	f	r	f	f	f	s	f	f	-	R	F	F	F	F
C. micropoda	CYPERACEAE	Carex	micropoda			3309129	C. micropoda	-	-	-	-	-	-	-	-	-	-	-	-	r	f	r	b	-	-	-	-	-	-	-	-	-	S	F
C. leptalea (subsp. leptalea)	CYPERACEAE	Carex	leptalea	(subsp.	leptalea)	3309130	C. leptalea (subsp. leptalea)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	r	-	-	-	-	-	-	-	R	F
C. filifolia	CYPERACEAE	Carex	filifolia			3309131	C. filifolia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	r	-	-	-	-	-	-	-	-	R	F
C. anthoxanthea	CYPERACEAE	Carex	anthoxanthea			3309132	C. anthoxanthea	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	-	-	-	R	S
C. scirpoidea subsp. scirpoidea	CYPERACEAE	Carex	scirpoidea	subsp.	scirpoidea	3309133a	C. scirpoidea subsp. scirpoidea	-	-	-	-	-	-	-	-	-	r	r	X	r	f	X	X	f	f	r	f	f	-	-	R	S	F	F
C. scirpoidea subsp. stenochlaena	CYPERACEAE	Carex	scirpoidea	subsp.	stenochlaena	3309133b	C. scirpoidea subsp. stenochlaena	-	-	-	-	-	-	-	-	-	-	-	-	-	-	X	X	-	-	-	-	-	-	-	-	?	F	F
C. pulicaris	CYPERACEAE	Carex	pulicaris			3309134	C. pulicaris	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	R
C. capitata	CYPERACEAE	Carex	capitata			3309135	C. capitata	f	r	s	-	r	r	r	s	f	r	-	-	-	r	r	s	r	r	-	r	-	-	-	-	-	S	F
C. arctogena	CYPERACEAE	Carex	arctogena			3309136	C. arctogena	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	f	r	-	-	-	S	S	S
C. nardina subsp. nardina	CYPERACEAE	Carex	nardina	subsp.	nardina	3309137a	C. nardina subsp. nardina	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	-	?	?	-	-	-	-	R	S
C. nardina subsp. hepburnii	CYPERACEAE	Carex	nardina	subsp.	hepburnii	3309137b	C. nardina subsp. hepburnii	-	-	-	f	-	-	-	-	-	-	r	X	-	X	r	f	s	f	f	f	f	-	R	F	F	F	S
E. mutabilis	POACEAE	Elymus	mutabilis			340101	E. mutabilis	-	b	s	-	s	r	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
E. trachycaulus subsp. trachycaulus	POACEAE	Elymus	trachycaulus	subsp.	trachycaulus	340102a	E. trachycaulus subsp. trachycaulus	-	-	-	-	-	-	-	-	-	-	-	-	-	r	?	r	r	r	-	-	-	-	-	-	-	R	F
E. trachycaulus subsp. novae-angliae	POACEAE	Elymus	trachycaulus	subsp.	novae-angliae	340102b	E. trachycaulus subsp. novae-angliae	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	r	-	-	-	-	-	-	-	R	F
E. trachycaulus subsp. subsecundus	POACEAE	Elymus	trachycaulus	subsp.	subsecundus	340102c	E. trachycaulus subsp. subsecundus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	F
E. trachycaulus subsp. virescens	POACEAE	Elymus	trachycaulus	subsp.	virescens	340102d	E. trachycaulus subsp. virescens	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	r	-	-	?	S	F	F
E. violaceus	POACEAE	Elymus	violaceus			340103	E. violaceus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	s	-	r	-	r	-	-	-	?	S	F	F
E. alaskanus subsp. alaskanus	POACEAE	Elymus	alaskanus	subsp.	alaskanus	340104a	E. alaskanus subsp. alaskanus	-	-	-	-	-	-	-	-	-	-	-	r	-	r	r	s	s	-	-	-	-	-	-	-	R	F	F
E. alaskanus subsp. borealis	POACEAE	Elymus	alaskanus	subsp.	borealis	340104b	E. alaskanus subsp. borealis	b	?	r	-	s	r	s	f	f	?	f	f	s	f	f	r	r	-	-	-	-	-	-	-	R	F	F
E. alaskanus subsp. hyperarcticus	POACEAE	Elymus	alaskanus	subsp.	hyperarcticus	340104c	E. alaskanus subsp. hyperarcticus	-	-	-	-	-	r	r	r	s	-	s	s	r	s	r	f	r	r	r	r	s	-	R	F	F	F	F
E. alaskanus subsp. villosus	POACEAE	Elymus	alaskanus	subsp.	villosus	340104d	E. alaskanus subsp. villosus	-	-	-	-	-	-	s	r	r	-	s	s	r	s	-	-	-	-	-	-	-	-	-	-	R	F	F
E. alaskanus subsp. caeruleus	POACEAE	Elymus	alaskanus	subsp.	caeruleus	340104e	E. alaskanus subsp. caeruleus	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	R	R	-	-
E. macrourus	POACEAE	Elymus	macrourus			340105	E. macrourus	-	-	r	-	s	s	r	r	s	r	f	-	f	f	s	f	s	-	-	-	-	-	-	?	R	F	F
E. macrourus subsp. macrourus	POACEAE	Elymus	macrourus	subsp.	macrourus	340105a	E. macrourus subsp. macrourus	-	-	r	-	r	-	r	r	s	r	f	-	f	f	r	-	-	-	-	-	-	-	-	-	R	F	F
E. macrourus subsp. neplianus	POACEAE	Elymus	macrourus	subsp.	neplianus	340105b	E. macrourus subsp. neplianus	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	-	-	-	-	-	?	R	R	?
E. macrourus subsp. turuchanensis	POACEAE	Elymus	macrourus	subsp.	turuchanensis	340105c	E. macrourus subsp. turuchanensis	-	-	r	-	s	s	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F	F
E. macrourus taxon sericeus	POACEAE	Elymus	macrourus	taxon	sericeus	340105d	E. macrourus taxon sericeus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	f	s	-	-	-	-	-	-	-	R	F	F
E. jacutensis	POACEAE	Elymus	jacutensis			340106	E. jacutensis	-	-	-	-	-	-	r	-	-	-	r	-	r	r	-	-	-	-	-	-	-	-	-	-	-	R	F
E. fibrosus subsp. fibrosus	POACEAE	Elymus	fibrosus	subsp.	fibrosus	340107a	E. fibrosus subsp. fibrosus	-	-	r	-	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
E. fibrosus subsp. subfibrosus	POACEAE	Elymus	fibrosus	subsp.	subfibrosus	340107b	E. fibrosus subsp. subfibrosus	-	-	-	-	-	r	r	r	s	r	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	R	F
E. caninus	POACEAE	Elymus	caninus			340108	E. caninus	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
E. confusus	POACEAE	Elymus	confusus			340109	E. confusus	-	-	-	-	-	-	-	-	-	r	r	-	r	-	-	-	-	-	-	-	-	-	-	-	-	R	F
P. spicata (subsp. spicata)	POACEAE	Pseudoroegneria	spicata	(subsp.	spicata)	340201	P. spicata (subsp. spicata)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	R	S
P. strigosa subsp. jacutorum	POACEAE	Pseudoroegneria	strigosa	subsp.	jacutorum	340202a	P. strigosa subsp. jacutorum	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
E. repens (subsp. repens)	POACEAE	Elytrigia	repens	(subsp.	repens)	340301	E. repens (subsp. repens)	*	*	*	-	*	-	-	-	-	-	-	-	-	-	*	-	-	*	-	*	-	-	-	-	-	*	F
H. sibirica	POACEAE	Hystrix	sibirica			340401	H. sibirica	-	-	-	-	-	-	r	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
L. mollis subsp. mollis	POACEAE	Leymus	mollis	subsp.	mollis	340501a	L. mollis subsp. mollis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	-	r	r	-	f	r	-	-	-	R	F	F
L. mollis subsp. villosissimus	POACEAE	Leymus	mollis	subsp.	villosissimus	340501b	L. mollis subsp. villosissimus	-	-	-	-	-	-	-	r	r	s	f	-	f	f	f	f	s	f	r	-	-	-	-	?	S	F	F
L. interior	POACEAE	Leymus	interior			340502	L. interior	-	-	-	-	-	-	r	s	f	-	s	r	s	s	-	-	-	-	-	-	-	-	-	-	R	F	F
L. arenarius	POACEAE	Leymus	arenarius			340503	L. arenarius	f	f	s	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	?	F	F
