timeline_id	bin_early	bin_late	taxon	rank	taxonomic_tree	taxon_ambiguous_with
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	500	0	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	500	0	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	500	0	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	500	0	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	500	0	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	500	0	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	500	0	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	500	0	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	500	0	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1000	500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1000	500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1000	500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1000	500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1000	500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1000	500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1000	500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1000	500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1000	500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1000	500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1000	500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1000	500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1000	500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1000	500	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1500	1000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1500	1000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1500	1000	Unverified taxon	Unknown	Unverified taxon	
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b	1500	1000	Unverified taxon	Unknown	Unverified taxon	
