timeline_id	site_name	coord	age_ybp	morphotype	taxon	rank	taxon-tree	data-value
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64°24'00"N 50°12'00"W	87.660000	Rumex acetosella	Rumex acetosella L.	Species	Life > Kingdom > Phylum > Order > Family > Genus > Species	0.000000
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64°24'00"N 50°12'00"W	87.660000	Saxifraga oppositifolia type	Saxifraga paniculata Mill.	Species	Species	0.000000
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64°24'00"N 50°12'00"W	87.660000	Saxifraga oppositifolia type	Saxifraga aizoides L.	Species	Species	0.000000
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64°24'00"N 50°12'00"W	87.660000	Saxifraga oppositifolia type	Saxifraga tricuspidata Rottb.	Species	Species	0.000000
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64°24'00"N 50°12'00"W	87.660000	Saxifraga oppositifolia type	Saxifraga oppositifolia L.	Species	Life > Kingdom > Phylum > Order > Family > Genus > Species	0.000000
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64°24'00"N 50°12'00"W	87.660000	Thalictrum alpinum	Thalictrum alpinum L.	Species	Life > Kingdom > Phylum > Order > Family > Genus > Species	0.000000
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64°24'00"N 50°12'00"W	87.660000	Tofieldia sp.	Tofieldia	Genus	Life > Kingdom > Phylum > Order > Family > Genus	0.000000
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64°24'00"N 50°12'00"W	450.220000	Alnus sp.	Alnus	Genus	Life > Kingdom > Phylum > Order > Family > Genus	6.382980
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64°24'00"N 50°12'00"W	450.220000	Artemisia sp.	Artemisia	Genus	Life > Kingdom > Phylum > Order > Family > Subfamily > Tribe > Genus	0.000000
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64°24'00"N 50°12'00"W	450.220000	Betula sp.	Betula	Genus	Life > Kingdom > Phylum > Order > Family > Genus	60.000000
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64°24'00"N 50°12'00"W	450.220000	Botrychium sp.	Botrychium	Genus	Life > Kingdom > Phylum > Class > Order > Family > Subfamily > Genus	0.000000
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64°24'00"N 50°12'00"W	450.220000	Campanula sp.	Campanula	Genus	Life > Kingdom > Phylum > Order > Family > Genus	0.000000
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	Johannes Iversen Sø	64°24'00"N 50°12'00"W	450.220000	Cerastium-Stellaria type	Stellaria longipes Goldie	Species	Species	0.000000
